Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Fri Jun 21 09:38:40 2019,8,correct,5000,25,1000,50,0.1,"[50, 50, 50, 150]",0.1662,0.6549,0.4932,0.3801,-0.5319,-0.5886,-13.1955,60
Fri Jun 21 09:39:35 2019,5,correct,5000,25,1000,50,0.2,"[50, 50, 50, 150]",0.0589,0.6847,0.246,0.2093,-0.2704,-0.4244,-7.6148,56
Fri Jun 21 09:40:22 2019,6,correct,5000,25,1000,50,0.1,[200],0.0182,0.8117,0.1584,0.1238,0.0715,4.6883,0.2086,56
Fri Jun 21 09:41:08 2019,0,"mae, maxae, ae, correct",5000,25,1000,50,0.2,[200],0.5433,1.136,0.9518,0.7056,-0.9953,-1.0131,-25.1446,56
Fri Jun 21 09:42:19 2019,6,correct,5000,25,1000,50,0.1,"[200, 200, 200, 150]",0.0459,0.7358,0.2162,0.1837,-0.2407,-0.2651,-6.0403,60
Fri Jun 21 09:43:26 2019,9,correct,5000,25,1000,50,0.2,"[200, 200, 200, 150]",0.0374,0.7949,0.2062,0.1708,-0.2244,-0.2605,-5.5136,60
Fri Jun 21 09:44:17 2019,3,correct,5000,25,1000,50,0.1,[400],0.0643,1.1567,0.3074,0.2406,0.2681,13.4033,4.0295,56
Fri Jun 21 09:45:08 2019,3,correct,5000,25,1000,50,0.2,[400],0.3139,2.2055,0.6239,0.5336,0.6233,31.1657,9.8875,56
Fri Jun 21 09:46:46 2019,1,correct,5000,25,1000,50,0.1,"[400, 400, 400, 150]",0.0647,1.1967,0.3249,0.2431,0.2648,13.238,3.8392,56
Fri Jun 21 09:48:26 2019,1,correct,5000,25,1000,50,0.2,"[400, 400, 400, 150]",0.0979,1.4102,0.392,0.3027,0.3411,17.053,5.1189,56
Fri Jun 21 09:50:15 2019,9,"mse, mre, rmse, correct",5000,100,500,50,0.1,[50],0.0606,1.1023,0.2218,0.1971,-0.2414,0.4164,-5.66,52
Fri Jun 21 09:52:14 2019,0,"mae, maxae, ae, correct",5000,100,500,50,0.2,[50],0.4726,0.4729,0.8758,0.6547,-0.9218,-0.7314,-22.8779,43
Fri Jun 21 09:54:57 2019,0,"lincor, mae, maxae, ae, correct",5000,100,500,50,0.1,"[50, 50, 50, 150]",0.4664,0.4654,0.8788,0.6537,-0.9199,-0.8144,-22.553,43
Fri Jun 21 09:57:34 2019,9,correct,5000,100,500,50,0.2,"[50, 50, 50, 150]",0.0192,0.7975,0.1412,0.1196,-0.1285,0.5048,-2.7475,47
Fri Jun 21 09:59:36 2019,8,correct,5000,100,500,50,0.1,[200],0.0111,1.5388,0.12300000000000001,0.09699999999999999,-0.0193,2.5037,-0.4231,60
Fri Jun 21 10:01:42 2019,2,correct,5000,100,500,50,0.2,[200],0.044,0.8288,0.2788,0.1931,0.2413,12.0633,4.5654,56
Fri Jun 21 10:05:14 2019,0,"mae, maxae, ae, correct",5000,100,500,50,0.1,"[200, 200, 200, 150]",0.1831,0.5253,0.5114,0.3992,-0.5521,-0.3886,-12.6611,43
Fri Jun 21 10:08:44 2019,4,correct,5000,100,500,50,0.2,"[200, 200, 200, 150]",0.0169,1.0985,0.1328,0.1122,-0.1113,0.6816,-2.3186,47
Fri Jun 21 10:11:16 2019,1,correct,5000,100,500,50,0.1,[400],0.2729,1.6333,0.6824,0.5127,0.6579,32.896,12.4906,56
Fri Jun 21 10:13:50 2019,4,correct,5000,100,500,50,0.2,[400],0.0125,2.0638,0.1241,0.0997,0.0118,3.3317,0.1201,65
Fri Jun 21 10:20:51 2019,0,"mae, maxae, ae, correct",5000,25,500,50,0.1,[50],0.6188,0.8005,1.0270000000000001,0.7565,-1.0674,-1.1724,-27.34,56
Fri Jun 21 10:22:16 2019,9,correct,5000,25,500,50,0.2,[50],0.0646,1.6998,0.2514,0.2159,-0.2909,-0.1943,-6.7841,56
Fri Jun 21 10:22:57 2019,0,"lincor, mae, maxae, ae, correct",5000,25,500,50,0.4,[50],0.5666,0.4468,0.9765,0.7231,-1.0174,-0.7654,-25.0761,43
Fri Jun 21 10:23:54 2019,2,"mse, mre, rmse, correct",5000,25,500,50,0.1,"[50, 50, 50, 150]",0.0428,0.7325,0.2041,0.1755,-0.1872,0.3453,-5.8023,56
