Date,Best epoch,From KPI:,Data size,Num_unrolling,Batch_size,n_predict_once,Dropout,Num_nodes,mse,lincor,mre,rmse,mae,maxae,ae,correct
Sat Jul  6 12:15:42 2019,1,correct,5000,50,500,100,0.0,"[200, 200, 150]",0.022,1.9469,0.1788,0.134,-0.0121,7.2924,-1.3625,90
Sat Jul  6 12:18:33 2019,3,correct,5000,50,250,25,0.0,"[50, 50, 150]",0.0214,1.1542,0.1446,0.1222,-0.1413,0.1507,-1.6703,45
Sat Jul  6 12:20:31 2019,2,correct,5000,50,250,25,0.2,"[50, 50, 150]",0.0314,0.7475,0.1863,0.1539,-0.2066,-0.1573,-2.5104,45
Sat Jul  6 12:22:36 2019,0,correct,5000,50,250,25,0.0,"[200, 200, 150]",0.0103,1.341,0.1109,0.0843,-0.0277,0.9161,-0.3925,63
Sat Jul  6 12:24:53 2019,3,"mse, mre, correct",5000,50,250,25,0.2,"[200, 200, 150]",0.0057,2.9265,0.0881,0.0663,-0.0191,0.7586,-0.1889,52
Sat Jul  6 12:27:19 2019,1,"mse, mre, rmse, correct",5000,50,250,25,0.0,"[300, 300, 150]",0.0056,1.9481,0.0879,0.065,0.0018,1.0066,0.0317,60
Sat Jul  6 12:29:53 2019,2,correct,5000,50,250,25,0.2,"[300, 300, 150]",0.0084,1.0817,0.1009,0.0807,-0.068,0.3817,-0.7297,47
Sat Jul  6 12:31:36 2019,2,correct,5000,50,500,25,0.0,"[50, 50, 150]",0.0188,1.0707,0.1412,0.1127,-0.0734,0.7984,-1.0623,60
Sat Jul  6 12:33:16 2019,2,"mse, mre, rmse, correct",5000,50,500,25,0.2,"[50, 50, 150]",0.0169,0.9167,0.1341,0.1063,-0.0642,0.8381,-0.8319,50
Sat Jul  6 12:35:09 2019,3,correct,5000,50,500,25,0.0,"[200, 200, 150]",0.0065,1.1581,0.0976,0.0695,0.0389,1.5477,0.444,63
Sat Jul  6 12:37:20 2019,4,correct,5000,50,500,25,0.2,"[200, 200, 150]",0.0056,1.4209,0.0883,0.0652,0.0086,1.0918,0.1026,60
Sat Jul  6 12:39:37 2019,3,correct,5000,50,500,25,0.0,"[300, 300, 150]",0.0057,1.7596,0.0884,0.0658,-0.0051,0.9312,-0.0617,60
Sat Jul  6 12:42:00 2019,2,correct,5000,50,500,25,0.2,"[300, 300, 150]",0.0057,1.2247,0.0888,0.0656,0.006999999999999999,1.0722,0.0616,60
Sat Jul  6 12:44:35 2019,4,"mse, mre, rmse, correct",5000,50,250,200,0.0,"[50, 50, 150]",0.0321,2.0164,0.1623,0.1517,-0.1492,2.1768,-9.2764,40
Sat Jul  6 12:45:51 2019,0,"lincor, mae, maxae, ae, correct",5000,50,250,200,0.2,"[50, 50, 150]",0.3627,0.3466,0.7833,0.574,-0.7937,-0.4970000000000001,-71.6008,20
Sat Jul  6 12:47:19 2019,0,correct,5000,50,250,200,0.0,"[200, 200, 150]",0.0461,2.3515,0.311,0.1911,0.2056,45.2938,19.0225,80
Sat Jul  6 12:49:00 2019,0,correct,5000,50,250,200,0.2,"[200, 200, 150]",0.3653,1.2275,0.8816,0.5922,0.78,156.0054,63.6245,80
Sat Jul  6 15:36:20 2019,0,"lincor, correct",5000,50,250,10,0.0,"[200, 200, 150]",0.0055,1.1635,0.0941,0.0628,0.0486,0.6298,0.2442,62
Sat Jul  6 15:39:32 2019,0,correct,5000,50,250,10,0.2,"[200, 200, 150]",0.0081,2.228,0.0951,0.0747,-0.0519,0.1558,-0.2922,62
Sat Jul  6 15:41:44 2019,0,"lincor, correct",5000,50,250,20,0.0,"[200, 200, 150]",0.0224,0.7011,0.205,0.1367,0.1826,3.6518,1.679,65
Sat Jul  6 15:44:08 2019,0,"mae, ae, correct",5000,50,250,20,0.2,"[200, 200, 150]",0.0162,1.4976,0.1277,0.1073,-0.1186,0.1115,-1.2138,51
Sat Jul  6 16:10:42 2019,2,correct,5000,50,250,40,0.0,"[200, 200, 150]",0.0057,3.2041,0.0906,0.071,-0.0176,1.1972,-0.326,55
Sat Jul  6 16:12:59 2019,0,correct,5000,50,250,40,0.2,"[200, 200, 150]",0.0087,1.4792,0.1047,0.0823,-0.0323,1.1786,-0.7635,58
Sat Jul  6 16:14:54 2019,0,correct,5000,50,250,60,0.0,"[200, 200, 150]",0.1148,1.0203,0.4637,0.3297,0.4224,25.3441,9.6749,57
Sat Jul  6 16:16:51 2019,0,correct,5000,50,250,60,0.2,"[200, 200, 150]",0.0457,0.7611,0.2891,0.2003,0.2543,15.2562,5.9811,57
Sat Jul  6 16:37:33 2019,0,correct,5000,50,250,100,0.0,"[200, 200, 150]",0.092,0.8861,0.434,0.2839,0.365,36.499,14.3607,72
Sat Jul  6 16:39:25 2019,0,correct,5000,50,250,100,0.2,"[200, 200, 150]",0.0263,1.0824,0.2244,0.1478,0.1253,15.185,4.6952,81
Sat Jul  6 18:48:37 2019,0,"mae, maxae, ae, correct",5000,50,250,20,0.0,"[200, 200, 150]",0.0209,1.7793,0.1429,0.1214,-0.1452,0.0289,-1.4686,46
Sat Jul  6 18:51:09 2019,0,correct,5000,50,250,20,0.2,"[200, 200, 150]",0.0066,1.0394,0.093,0.0705,-0.0174,0.6081,-0.2738,63
Sat Jul  6 18:53:17 2019,1,correct,5000,50,500,20,0.0,"[200, 200, 150]",0.0216,0.6947,0.2006,0.1341,0.1797,3.5948,1.6685,65
Sat Jul  6 18:55:35 2019,1,correct,5000,50,500,20,0.2,"[200, 200, 150]",0.0104,0.8755,0.1383,0.0899,0.0916,2.0584,0.8295,63
Sat Jul  6 18:57:39 2019,2,correct,5000,50,750,20,0.0,"[200, 200, 150]",0.0187,0.6944,0.1858,0.1227,0.1604,3.2168,1.4509,65
Sat Jul  6 18:59:45 2019,2,correct,5000,50,750,20,0.2,"[200, 200, 150]",0.0132,0.6976,0.155,0.101,0.1222,2.5173,1.0971,65
